symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
MSFT,Microsoft Corporation,Technology,520.54,3869219226000,38.16,0.0064,NASDAQ,USD
AAPL,Apple Inc.,Technology,258.45,3835498856000,39.22,0.0038,NYSE,USD
WMT,Walmart Inc.,Consumer Staples,107.14,854211297000,40.43,0.0083,NASDAQ,USD
V,Visa Inc.,Financial Services,345.36,670323704000,33.66,0.0068,NASDAQ,USD
XOM,Exxon Mobil Corporation,Energy,114.71,489037070000,16.29,0.0348,NASDAQ,USD
JNJ,Johnson & Johnson,Healthcare,192.94,464664920000,18.66,0.0265,NASDAQ,USD
PG,Procter & Gamble Co.,Consumer Staples,152.2,356221878000,23.42,0.0269,NASDAQ,USD
SPCE,Virgin Galactic Holdings,Industrial,166.5,306228987976,14.9,0.0,NYSE,USD
NVDA,NVIDIA Corporation,Technology,161.18,293616288671,24.23,0.0094,NYSE,USD
CRM,Salesforce Inc.,Technology,256.64,244321288000,37.3,0.0062,NYSE,USD
SHOP,Shopify Inc.,Technology,162.01,210002739000,90.01,0.0,NYSE,USD
UBER,Uber Technologies Inc.,Technology,92.21,194006499000,15.85,0.0,NASDAQ,USD
BA,Boeing Co.,Industrial,216.59,163776201000,,0.0,NASDAQ,USD
AMC,AMC Entertainment Holdings,Consumer Discretionary,106.46,161984747961,14.91,0.0225,NASDAQ,USD
BLNK,Blink Charging Co.,Energy,96.42,143825558876,20.43,0.0011,NYSE,USD
RIVN,Rivian Automotive Inc.,Consumer Discretionary,97.05,110072528376,22.93,0.0329,NYSE,USD
SBUX,Starbucks Corporation,Consumer Discretionary,85.5,97187856000,37.01,0.0284,NYSE,USD
GME,GameStop Corp.,Consumer Discretionary,124.03,95684061506,27.53,0.0096,NYSE,USD
TSLA,Tesla Inc.,Consumer Discretionary,107.68,85828931335,,0.0,NASDAQ,USD
SQ,Block Inc.,Financial Services,128.35,76900445959,27.13,0.0,NASDAQ,USD
SNAP,Snap Inc.,Technology,7.77,13129999000,,0.0,NYSE,USD
