symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
XIQ,Consolidated Capital,Healthcare,237.95,423627788330,,0.0,NASDAQ,USD
GM,Global Resources,Real Estate,193.24,287385123671,,0.0429,NYSE,USD
NRQ,Capital Resources,Materials,146.02,260055438040,22.17,0.0408,NASDAQ,USD
AAT,Consolidated International,Industrial,159.17,253581258724,,0.0,NYSE,USD
MNQ,Advanced Partners,Industrial,142.44,241009382387,17.07,0.0,NASDAQ,USD
DPS,Metro Enterprises,Healthcare,137.16,240147726337,21.67,0.0478,NYSE,USD
GBK,Dynamic Partners,Financial Services,141.68,236694156573,,0.021,NASDAQ,USD
CX,Advanced Inc,Materials,103.76,186606789966,34.68,0.0341,NYSE,USD
TLTD,United Technologies,Healthcare,264.44,133673655936,,0.0257,NASDAQ,USD
TRV,Advanced Industries,Healthcare,170.32,102577512615,22.26,0.0,NASDAQ,USD
AY,American Partners,Financial Services,69.67,86367941982,,0.0,NASDAQ,USD
MXR,Strategic Enterprises,Consumer Staples,93.48,69854046764,33.29,0.0,NASDAQ,USD
DBH,Capital Industries,Utilities,101.85,64144592410,,0.0321,NASDAQ,USD
BPD,Premier Partners,Industrial,128.17,57966330447,,0.0512,NYSE,USD
ZPB,National Holdings,Real Estate,66.23,54409880036,28.34,0.0375,NASDAQ,USD
SX,Innovative Global,Industrial,40.63,51354531188,27.64,0.0373,NYSE,USD
MFF,Dynamic Group,Real Estate,157.71,50905857227,21.6,0.0,NASDAQ,USD
ATP,National Partners,Utilities,115.91,50495123888,30.39,0.0502,NASDAQ,USD
ZPHZ,United Partners,Utilities,52.29,32873406248,13.04,0.0259,NYSE,USD
NY,National International,Healthcare,273.7,31363663890,15.15,0.0218,NASDAQ,USD
DW,Capital Global,Consumer Discretionary,170.12,30476777630,19.93,0.0,NASDAQ,USD
TAIF,Superior Corp,Consumer Staples,92.23,18058880297,16.47,0.0299,NASDAQ,USD
ZORP,Consolidated Global,Financial Services,98.81,15797264473,18.31,0.0471,NYSE,USD
SDBW,Innovative Industries,Industrial,166.4,10762304604,,0.0,NYSE,USD
APSZ,Pacific Services,Industrial,97.75,7815920718,21.41,0.0133,NYSE,USD
