symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
TH,Superior Enterprises,Industrial,178.36,293868076930,21.8,0.0,NYSE,USD
VXW,Premier Systems,Technology,193.61,230093011329,10.72,0.0537,NASDAQ,USD
XIH,National Systems,Healthcare,134.94,193961872943,28.84,0.0404,NYSE,USD
SEZE,Innovative Resources,Industrial,96.77,186623528837,13.81,0.036,NASDAQ,USD
XLG,Consolidated Inc,Industrial,117.78,182644893561,22.88,0.0563,NYSE,USD
MY,International Holdings,Healthcare,326.68,175036576675,8.66,0.0,NASDAQ,USD
XS,Pacific Industries,Consumer Discretionary,122.38,165534419522,11.38,0.0,NASDAQ,USD
RMB,Global Group,Industrial,107.68,154145996859,,0.0403,NYSE,USD
CO,Alliance Corp,Technology,135.32,147375392406,8.71,0.0,NYSE,USD
MMO,International Technologies,Consumer Staples,97.98,119508195455,27.74,0.0,NASDAQ,USD
NEAR,American Services,Real Estate,75.43,117428564084,,0.0,NYSE,USD
PKX,Advanced Technologies,Materials,67.75,111260184517,25.32,0.0152,NASDAQ,USD
ROL,Pacific Inc,Energy,143.5,103115788256,26.08,0.0324,NASDAQ,USD
MRZX,Advanced Capital,Consumer Staples,86.15,100863106404,33.17,0.0,NYSE,USD
DCY,Pacific Corp,Industrial,95.58,96960548452,19.4,0.0504,NYSE,USD
DV,Pacific LLC,Consumer Discretionary,75.02,87545529631,15.34,0.0374,NYSE,USD
VS,Global Group,Industrial,152.98,83752567889,29.88,0.0,NASDAQ,USD
AVH,Metro LLC,Consumer Staples,56.69,41384746569,15.93,0.0,NASDAQ,USD
RJA,National Technologies,Financial Services,109.28,39000579853,31.43,0.0563,NYSE,USD
NVM,Capital Global,Industrial,159.56,37021899062,10.14,0.0,NASDAQ,USD
RBG,National Solutions,Healthcare,147.67,35591861112,30.87,0.0,NYSE,USD
XBY,National Technologies,Real Estate,72.87,31396890259,34.54,0.0265,NYSE,USD
PIPI,First Industries,Financial Services,106.04,14091313441,12.47,0.0101,NYSE,USD
MLH,Premier Corp,Financial Services,91.87,9661632443,24.94,0.0,NASDAQ,USD
SDB,First Technologies,Financial Services,95.63,9344428581,25.46,0.0095,NYSE,USD
