symbol,sector,risk_rating,risk_score,volatility,max_drawdown,volume_decline,beta,sharpe_ratio,rsi,price_change_1m,price_change_3m,price_change_6m
ZQR,Real Estate,RED,4,0.4258426178655056,-0.49661486382520387,0.047208057543756024,-0.10456465293034281,-0.07443768377557385,7.71412365286443,-0.23059736594543742,-0.22814675002949145,-0.47416217953869644
MXG,Consumer Discretionary,RED,3,0.46621300234598895,-0.49849481937832574,0.03430964723057175,0.019716158073272313,-0.9053091605630524,37.88213047589032,-0.04935804263565895,0.026887347900039153,-0.3348728813559322
DUH,Consumer Discretionary,RED,3,0.35444339045890805,-0.4097486671744099,0.02250366806367402,0.05003031883699116,-1.1865405102265587,7.324840764331185,-0.1157749354470666,-0.2431251606270882,-0.17709846876047836
XFXF,Energy,RED,3,0.4440832828161031,-0.3441017090454359,-0.03687649543782937,-0.020203432901409513,0.07933737796221874,31.272727272727252,-0.1814105177333878,-0.09016764839148174,-0.017131669114048037
BEOK,Utilities,RED,3,0.48388327387151514,-0.39082058414464554,-0.010240472876350867,0.09187457098388144,2.2476721007697518,32.591493570722065,-0.12063981499325492,-0.1096585365853658,0.6302250803858522
RHV,Consumer Discretionary,RED,3,0.370575856094719,-0.4603095356964559,-0.005642022294330985,-0.1839914490907428,-1.4540744680655506,22.794928335170894,-0.13734704734882067,-0.13627485795454541,-0.326293192992175
RV,Industrial,RED,2,0.3358594059503271,-0.45057651404903193,0.04893564237085466,-0.12339631877875273,-1.212884956554002,28.628495339547314,-0.0552763819095477,0.004791743457427297,-0.08859913072550982
SVR,Healthcare,RED,2,0.2618780020757415,-0.28844049247606074,-0.020356450809141606,-0.17146212307913136,-1.003590174503469,43.117408906882616,0.0066249316234121645,-0.08618406532774224,-0.1025495136687528
APB,Consumer Discretionary,RED,2,0.36935923122735864,-0.3659353621137065,-0.08649160177833008,0.007773301532402643,-0.9109445237778308,35.02447708055179,-0.07825730674679054,-0.1749388753056235,-0.258107068264263
XS,Financial Services,RED,2,0.2416634331339593,-0.259261565282361,0.08592526055785246,-0.10386142771764005,-0.5779045261295391,73.34575955265602,0.0959905858619819,-0.049566294919454856,-0.044971801069362154
AJC,Consumer Staples,RED,2,0.21667764607308418,-0.38069734397201865,0.06416524113095677,-0.11491390019316235,-1.7561575691023605,31.95201744820065,-0.10708450913411556,-0.08451347647327553,0.019847328244274716
TYB,Energy,RED,2,0.40491242600873145,-0.2276487152411123,-0.04280777776370013,-0.19235856108365343,1.8189711630164267,62.22899728997291,0.16815564820329573,0.11228733459357287,0.4569766002228552
ZZM,Real Estate,RED,2,0.20344077586048526,-0.3442714675970116,0.015151618531649124,-0.0065083793984022555,-2.0511630289039453,30.972515856236882,-0.046360464560531424,-0.11911173899607078,-0.1492709132770529
MH,Consumer Discretionary,RED,2,0.30026145708714885,-0.2808306924684779,0.010520125685454825,-0.04025440141573599,-0.6620413366166276,45.37953795379537,0.009510489510489474,-0.16996320147194113,-0.08447488584474894
AMH,Technology,RED,2,0.2318441075758758,-0.43930334092634793,-0.007478058124873818,-0.026544796697088348,-1.6035330490604602,70.06246996636233,0.0746763754045309,0.07485029940119772,-0.11358024691358012
DH,Consumer Staples,RED,2,0.4484144563497637,-0.48588756706321445,0.07108632680922947,0.27453920231358325,-0.24937268082672176,54.531812725090035,0.060376839499381114,0.005608451806443102,-0.11541991739329971
SR,Healthcare,RED,2,0.39280808250784605,-0.450802728588162,0.050581012923733966,0.0006837883363721566,-0.8229151311420617,35.728744939271266,-0.07141608900798038,-0.15112625805420948,-0.3466803278688525
NUKX,Real Estate,RED,2,0.18740234529547184,-0.27005109975561054,-0.0209141649905602,-0.06924037822426857,-1.53344222557892,32.8896283971159,-0.04623457665579357,-0.03258289577788967,-0.051414063050990846
VF,Industrial,RED,1,0.32727014913178215,-0.2365129007036747,-0.10428466965889699,-0.022118254014965418,1.3987420424067605,67.99198128967592,0.1401052142967663,0.33826734471485653,0.6964429607459421
BU,Consumer Discretionary,RED,1,0.2819275718945953,-0.2827263419628492,0.03605408774801445,0.037301463753524854,1.0538666128575351,83.2746478873239,0.1291678341272065,0.4659876318661331,0.25996560887916204
NKE,Materials,RED,1,0.3794443706346312,-0.4205748865355516,0.01149761325638986,-0.20840484566324183,-0.32507390359585253,65.27570789865871,0.12205975842339467,0.1390771216521458,-0.16627302786962697
NUXW,Energy,RED,1,0.3171405537129696,-0.3174117389878674,-0.0265369253407694,-0.2639980587922158,0.012902318677516086,62.5251509054326,0.12448310280906894,0.09315220404768504,-0.10253783999089569
MLC,Real Estate,GREEN,1,0.15319405762891591,-0.184302600472813,-0.051702913278023004,-0.009877552069929964,-0.8150388820384971,34.66666666666667,-0.02074408117249158,-0.09830789992733312,-0.13087852711626974
REPD,Healthcare,RED,1,0.19002911054039204,-0.22068876563910714,-0.06908330593722498,0.04388566954208509,-0.4156860547794919,25.615212527964175,-0.069737954353339,-0.04718614718614713,-0.06803105151728996
DSTA,Consumer Discretionary,RED,1,0.35877268145958724,-0.2860052963943784,0.030573011638341967,0.03766389051167498,0.5242218918460724,42.5438596491228,-0.04713444027852182,-0.23680823680823682,-0.13113553113553122
ACSY,Energy,RED,1,0.3964428678564284,-0.3105983008977524,-0.077847703069474,0.018603169908395962,0.9589570168182675,76.26987204342768,-0.048325778622605745,-0.04223383121183143,0.06165891852214329
MRPM,Real Estate,RED,1,0.30418069099571937,-0.2938844086021505,-0.02865553045973574,0.17583284197932184,0.3909480961105501,30.532724505327252,-0.014555833036032764,0.26393337604099953,0.2001216545012167
TIV,Financial Services,RED,1,0.2499898554597773,-0.26787252368647657,-0.05067806322589205,-0.01955721638136001,0.2521821029381307,71.35046473482777,0.20085959885386814,0.1674094707520891,-0.05202442886224846
RDT,Energy,RED,1,0.22379325322704374,-0.26258883248730913,0.020858512192468898,-0.023953407805961915,-0.1429564294074116,50.94755398854122,-0.05077700326149515,-0.060807390534041925,-0.13290103984110294
CIL,Materials,RED,1,0.24157087436284955,-0.27791801899266716,-0.010742579446060111,0.18306788068465374,-0.1499216067173205,62.891874600127935,0.0762118240403474,0.16270622067504165,0.054640307523338684
TQS,Consumer Staples,RED,1,0.30635022315287097,-0.3365589867653337,-0.027837189948968343,-0.01061212407914952,0.04739078734125962,40.486486486486505,0.03521510255944813,0.11093795655985196,0.1213134093590248
GES,Industrial,RED,1,0.1754979936929671,-0.20159716060337143,0.02357652630475216,-0.010516045843094853,-0.25614714604351674,52.50000000000003,0.007148377125193287,0.09585873449653147,0.029220138203356446
VSO,Energy,RED,1,0.3136743979207654,-0.25395363119914044,-0.11594335560069395,0.06989511197645959,0.5356826882824496,53.89773679798826,0.048790162633875464,-0.11497907949790791,-0.12319681644835018
AN,Consumer Staples,RED,1,0.33551724037879416,-0.31644044655047826,-0.010168491942115844,-0.038800275501522846,-0.37148925658712906,47.29257641921399,-0.04446618830180477,-0.10389477977161499,-0.04353030797692894
XZ,Utilities,RED,1,0.25389573433910584,-0.29298462625905647,-0.0012163083934835042,0.07085918645715145,-0.3440711842724831,70.21943573667707,0.028447339847991363,-0.10387890255439927,-0.03661513425549222
PW,Materials,RED,1,0.32541278888023967,-0.2718375930119705,0.03588104978652868,-0.13636745770677447,0.0879392119318494,38.05171062940713,0.022065170479067624,-0.047032193158953836,-0.16758205545059104
PE,Energy,GREEN,0,0.1922036063713675,-0.17658212846646074,-0.06522181313547255,0.08955336819331858,-0.3102119135140604,21.997981836528794,-0.07161945483698556,-0.1554637170292937,-0.09425107547907692
DQX,Financial Services,GREEN,0,0.15220883914764605,-0.1049373280342398,-0.041601964777058534,-0.014658334745228796,1.1745329740838721,60.013860013859926,0.011218804853850255,0.08990704943653868,0.03531801844038128
CCJ,Technology,GREEN,0,0.31889415164397683,-0.1698817315420832,0.10337588827682341,-0.012638016526953249,1.9506137238525874,50.733554188357786,0.04702401978099614,0.10154689459748216,0.3908733650067452
ME,Materials,GREEN,0,0.18502392799474623,-0.08390145646110933,0.028034015436523577,-0.02850958513758012,1.521886894819078,49.101796407185645,-0.05714511539677514,-0.03079298017549555,0.0410157954446287
ZOBI,Consumer Staples,GREEN,0,0.14987174062438222,-0.18493895805632726,0.08216014704282502,0.06866784633448392,-0.4306104060514158,35.77464788732398,-0.019389177544037527,0.048651578804715934,0.11998842090027488
GDT,Industrial,GREEN,0,0.24967732460383502,-0.12061273051754924,-0.07908314987935045,0.018445843062334263,1.9026764931198654,47.98331015299027,0.012626981866514748,0.20356578650417503,0.33675899235493156
DAX,Materials,GREEN,0,0.18209176207101266,-0.16143863552094945,-0.060209241065365626,-0.00586636106369966,1.4731553646804674,42.86486486486488,0.03409672934806487,0.1563573883161513,0.10027247956403289
BDK,Industrial,GREEN,0,0.2386867431599967,-0.16824870994457486,-0.012987147948944757,0.0015790687410526323,1.2622149765315143,35.515873015873055,-0.012066257318292145,0.014368448060992654,-0.0944964334794843
DH,Materials,GREEN,0,0.18172313336651275,-0.16708860759493754,-0.021926064257040172,0.028262931363600273,-0.254925426971795,76.53721682847895,0.07217090069284064,0.07139766334919952,0.044725738396624574
AQO,Consumer Discretionary,GREEN,0,0.1990640125107335,-0.18869315854158208,0.04788641627595678,-0.0062219226028997114,0.7349322973036045,55.58583106267026,-0.031591824985607475,0.07210006373486295,0.3001932367149758
TSK,Utilities,GREEN,0,0.18869878788578784,-0.1998439396566666,0.007782831443549288,0.039363825769457725,0.08213956071781102,45.13193812556872,0.003989082511022417,-0.0023990820903306976,-0.1575052854122621
RYY,Materials,GREEN,0,0.283240509120206,-0.14147446457990154,-0.008321554948030285,0.19620630322827187,0.17724117659526903,20.708446866485033,-0.03761406632539501,-0.015482695810564657,-0.002077082852527032
NHV,Materials,GREEN,0,0.23733539728821648,-0.1282906024805138,-0.058990455959959276,0.013698013055066663,1.6734432655724296,51.53771447070248,-0.0030326004548900808,-0.022252907748685526,0.13410952996981446
BTM,Technology,GREEN,0,0.28037982011160023,-0.1558531198233025,0.09535948047084032,0.04097100801898296,0.8388994263381381,50.15658877378945,-0.034325992659325955,0.01690969782150384,0.05567207732992891
ZID,Industrial,GREEN,0,0.15619185612669825,-0.07952989502510245,0.06512487303248486,-0.0504189579213163,0.5251106189565625,45.56803995006237,-0.04184056761268787,-0.04740663900414945,0.032029669588671546
