symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
XGMR,Regional Services,Healthcare,381.73,453380157290,25.46,0.0434,NASDAQ,USD
BOKO,Superior LLC,Real Estate,193.26,356135003364,,0.0116,NYSE,USD
PRD,Advanced Partners,Technology,312.13,348615519277,8.46,0.018,NASDAQ,USD
MNM,American Global,Technology,166.03,280424646094,11.61,0.0117,NASDAQ,USD
TTIH,Consolidated Global,Real Estate,155.73,222872463517,30.93,0.0046,NASDAQ,USD
GE,National Corp,Technology,116.27,186318935690,15.57,0.0235,NASDAQ,USD
CEY,Alliance Corp,Utilities,113.81,186167277631,14.68,0.045,NYSE,USD
XQ,International Corp,Technology,258.44,153265801203,10.49,0.0263,NASDAQ,USD
VFS,Capital Solutions,Consumer Discretionary,75.21,136303844613,9.8,0.0305,NASDAQ,USD
PZF,Regional LLC,Healthcare,105.16,129513917744,22.11,0.0126,NASDAQ,USD
RMI,Strategic Technologies,Consumer Staples,94.26,120873871547,13.83,0.0,NYSE,USD
ZL,Advanced Enterprises,Industrial,103.23,116371114935,10.7,0.0533,NYSE,USD
ZB,Consolidated Services,Industrial,60.0,77061803531,25.33,0.0,NASDAQ,USD
DWQ,Strategic Group,Financial Services,41.89,75830162287,28.03,0.0,NYSE,USD
GB,Premier Resources,Industrial,35.37,64132573021,,0.0123,NYSE,USD
TPZU,American Partners,Consumer Staples,42.07,63955090021,12.71,0.0283,NYSE,USD
NQ,National Technologies,Materials,78.79,59810790169,31.14,0.0431,NYSE,USD
SOZ,Dynamic Partners,Utilities,50.08,58650889817,33.21,0.019,NYSE,USD
SLZ,Consolidated Group,Materials,152.05,56645160802,31.3,0.0529,NYSE,USD
PRU,Advanced International,Industrial,42.05,31203901005,18.04,0.0317,NYSE,USD
DOCN,Alliance Partners,Financial Services,52.79,23203730368,12.9,0.0,NASDAQ,USD
ZLW,Innovative Technologies,Utilities,51.37,8781688909,14.26,0.0129,NYSE,USD
DXY,Metro Systems,Financial Services,42.43,7703367794,11.7,0.0033,NASDAQ,USD
GCF,International Solutions,Consumer Staples,73.08,5599930430,27.87,0.0,NYSE,USD
MWPC,First Enterprises,Industrial,51.87,5007682734,,0.0363,NASDAQ,USD
