symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
DUQ,Strategic Global,Materials,156.68,308502674738,31.48,0.048,NYSE,USD
AJB,Advanced Systems,Financial Services,135.01,251283402499,23.32,0.0,NYSE,USD
NUAH,Innovative Inc,Energy,105.07,209947317352,17.44,0.0115,NASDAQ,USD
TJZ,Strategic Corp,Consumer Discretionary,181.16,197319039269,,0.0,NASDAQ,USD
MP,Global International,Technology,103.97,189761677710,14.77,0.0443,NYSE,USD
PXF,Capital Corp,Energy,112.46,187436867616,26.22,0.0,NYSE,USD
RE,Strategic Industries,Consumer Staples,111.07,184224474377,15.8,0.0426,NASDAQ,USD
BU,Global Corp,Consumer Discretionary,93.96,182861014651,25.32,0.0438,NASDAQ,USD
ZDYU,First Global,Healthcare,102.83,177246915510,18.85,0.0143,NYSE,USD
RHM,Premier Inc,Energy,92.8,150344255103,34.71,0.0,NASDAQ,USD
PLK,Alliance Global,Technology,165.1,141131537564,16.51,0.0024,NASDAQ,USD
AMWZ,Consolidated Global,Utilities,74.1,132941934514,14.36,0.0201,NASDAQ,USD
ZKC,Superior Industries,Utilities,87.54,120998914537,24.52,0.0029,NYSE,USD
AYA,United Group,Financial Services,139.96,117960041555,28.59,0.0248,NASDAQ,USD
RPP,Pacific Solutions,Energy,83.19,112776715355,32.44,0.0301,NYSE,USD
TG,Capital Services,Healthcare,175.81,79782082825,11.95,0.0192,NASDAQ,USD
XZ,Metro Services,Healthcare,94.72,74132910444,14.94,0.0,NYSE,USD
CHR,National Services,Energy,121.17,50256434211,28.51,0.0558,NASDAQ,USD
ADIX,Advanced Services,Industrial,140.7,42975535425,23.74,0.0311,NYSE,USD
CF,United Systems,Consumer Staples,48.2,34591403830,9.27,0.0442,NASDAQ,USD
SRH,First International,Consumer Discretionary,35.56,29632062680,28.69,0.0118,NASDAQ,USD
XHL,Alliance Industries,Consumer Staples,47.0,24869544362,24.5,0.0531,NYSE,USD
MXN,Global Global,Technology,139.85,23891020958,25.1,0.0366,NASDAQ,USD
GT,Metro Global,Consumer Discretionary,86.02,17494653743,34.43,0.0,NYSE,USD
AZA,Innovative Corp,Technology,72.92,13044597715,27.16,0.0179,NYSE,USD
