symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
NVDA,NVIDIA Corporation,Technology,202.49,4930024243000,57.85,0.0002,NYSE,USD
AAPL,Apple Inc.,Technology,270.37,3995082424000,36.24,0.0038,NYSE,USD
MSFT,Microsoft Corporation,Technology,517.81,3848559657000,36.78,0.0065,NASDAQ,USD
TSLA,Tesla Inc.,Consumer Discretionary,456.56,1518435959000,312.71,0.0,NYSE,USD
WMT,Walmart Inc.,Consumer Staples,101.18,806693110000,38.18,0.0087,NASDAQ,USD
V,Visa Inc.,Financial Services,340.74,658738774000,33.44,0.0071,NASDAQ,USD
XOM,Exxon Mobil Corporation,Energy,114.36,487544947000,16.62,0.0345,NASDAQ,USD
JNJ,Johnson & Johnson,Healthcare,188.87,455043547000,18.25,0.0269,NYSE,USD
PG,Procter & Gamble Co.,Consumer Staples,150.37,351374606000,21.92,0.0276,NASDAQ,USD
CRM,Salesforce Inc.,Technology,260.41,247910318000,37.91,0.0064,NASDAQ,USD
SHOP,Shopify Inc.,Technology,173.86,226668904000,96.06,0.0,NYSE,USD
UBER,Uber Technologies Inc.,Technology,96.5,201242903000,16.44,0.0,NASDAQ,USD
BA,Boeing Co.,Industrial,201.02,152794399000,,0.0,NASDAQ,USD
SBUX,Starbucks Corporation,Consumer Discretionary,80.87,91939971000,49.61,0.0293,NYSE,USD
PYPL,PayPal Holdings Inc.,Financial Services,69.27,64812610000,13.91,0.0,NASDAQ,USD
RIVN,Rivian Automotive Inc.,Consumer Discretionary,13.57,16466299000,,0.0,NYSE,USD
SNAP,Snap Inc.,Technology,7.8,13180695000,,0.0,NYSE,USD
GME,GameStop Corp.,Consumer Discretionary,22.29,9983885000,27.86,0.0,NYSE,USD
AMC,AMC Entertainment Holdings,Consumer Discretionary,2.59,1328524000,,0.0,NYSE,USD
SPCE,Virgin Galactic Holdings,Industrial,3.94,226908000,,0.0,NYSE,USD
BLNK,Blink Charging Co.,Energy,1.7,194764000,,0.0,NYSE,USD
