symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
NRV,Alliance Holdings,Technology,329.84,512957938599,19.38,0.0325,NASDAQ,USD
GEG,Advanced Solutions,Technology,187.92,331059046599,31.39,0.0452,NYSE,USD
GY,American Group,Healthcare,318.25,310559735497,14.98,0.057,NYSE,USD
NT,Strategic International,Financial Services,112.08,200561471049,26.32,0.0113,NASDAQ,USD
ZWV,Dynamic Solutions,Materials,164.37,198822050603,22.05,0.0074,NASDAQ,USD
ANV,Alliance Holdings,Technology,173.98,183013854002,29.84,0.0318,NYSE,USD
BTW,Advanced Partners,Industrial,167.24,164781306038,16.29,0.0143,NASDAQ,USD
DLU,Metro Capital,Consumer Discretionary,92.39,164687697737,14.98,0.0376,NYSE,USD
BON,Regional International,Materials,107.62,153394900294,30.19,0.0,NASDAQ,USD
AAG,Metro Industries,Technology,340.3,152463327531,33.5,0.0298,NYSE,USD
BVEL,Alliance Inc,Healthcare,358.91,140369910567,33.87,0.0,NYSE,USD
ZUCJ,International Systems,Utilities,118.9,131269719426,17.25,0.0,NASDAQ,USD
MU,Innovative Global,Financial Services,65.32,128879743915,8.46,0.0378,NYSE,USD
DGM,Regional Group,Real Estate,117.2,118476214192,18.88,0.0381,NYSE,USD
PJ,Advanced Solutions,Utilities,49.96,98518250912,33.58,0.0,NASDAQ,USD
TMH,Capital Systems,Healthcare,106.19,97973101443,18.21,0.0535,NASDAQ,USD
ZO,American Capital,Industrial,197.77,94621789451,23.17,0.0,NYSE,USD
PCUF,United Industries,Industrial,90.74,90764523257,17.53,0.0219,NYSE,USD
PI,Pacific Holdings,Utilities,78.84,89028053792,17.77,0.0339,NYSE,USD
TISW,Superior Technologies,Utilities,53.57,64043728123,32.63,0.0,NASDAQ,USD
CUP,American Resources,Industrial,45.93,59763013405,12.58,0.0,NYSE,USD
MQ,Superior Global,Healthcare,55.78,57825290935,30.05,0.0212,NYSE,USD
SQ,Alliance International,Industrial,62.65,43157527065,20.48,0.0,NASDAQ,USD
ZJJ,Strategic Solutions,Real Estate,107.36,34926166664,,0.0508,NASDAQ,USD
MT,Advanced Group,Technology,114.9,22072473271,,0.0573,NYSE,USD
