symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
AYR,Premier Inc,Technology,305.93,587675486565,18.86,0.0561,NASDAQ,USD
PKH,Innovative Industries,Healthcare,278.11,368936539511,14.64,0.0227,NASDAQ,USD
GXL,Innovative Global,Technology,299.72,366445588010,24.65,0.0,NYSE,USD
CUIO,Alliance Inc,Materials,157.41,299525851850,33.96,0.0,NASDAQ,USD
DB,First Resources,Consumer Discretionary,164.47,150235799753,21.25,0.0336,NYSE,USD
DHRS,Strategic Holdings,Consumer Discretionary,128.15,137524961107,23.3,0.0,NASDAQ,USD
TUK,Innovative Resources,Consumer Staples,89.85,119425221183,12.19,0.0482,NYSE,USD
DJX,National Capital,Technology,319.03,117582688823,24.65,0.0171,NASDAQ,USD
VUE,Strategic Industries,Financial Services,147.06,115548358895,,0.0292,NASDAQ,USD
NQWM,American Holdings,Healthcare,312.12,108619314320,15.91,0.0,NASDAQ,USD
ZWL,Alliance Services,Materials,54.43,107422651413,20.61,0.0,NASDAQ,USD
DKC,International Group,Healthcare,63.65,103981780191,14.11,0.0223,NASDAQ,USD
DS,Metro Enterprises,Consumer Discretionary,58.67,91783148110,,0.0007,NASDAQ,USD
DXRC,United Capital,Real Estate,42.86,77441487088,17.22,0.0228,NASDAQ,USD
GA,Consolidated Systems,Consumer Staples,103.22,72654358655,13.07,0.0536,NYSE,USD
TVP,Innovative Enterprises,Industrial,74.41,57720663275,19.91,0.0,NASDAQ,USD
VYRV,Global Enterprises,Consumer Staples,58.33,54409749326,8.91,0.0531,NYSE,USD
CQH,First Services,Utilities,112.29,47325373253,28.52,0.0458,NYSE,USD
ST,American Partners,Materials,74.95,44001311874,33.36,0.0372,NASDAQ,USD
BFL,Pacific LLC,Industrial,43.35,37802869280,33.14,0.0,NASDAQ,USD
CLN,Dynamic Group,Consumer Staples,112.88,33629916702,27.49,0.0364,NYSE,USD
DQJ,Pacific Inc,Utilities,79.04,33040195736,9.34,0.0,NASDAQ,USD
GN,First Corp,Real Estate,145.61,16681346028,14.39,0.0064,NYSE,USD
CW,United Capital,Consumer Discretionary,63.64,8716908809,8.4,0.0323,NYSE,USD
TI,Innovative Inc,Real Estate,54.06,8172132989,,0.0,NASDAQ,USD
